Year,Country / territory of asylum/residence,Origin,Refugees (incl. refugee-like situations),Asylum-seekers (pending cases),Returned refugees,Total Population
2005,Germany,Serbia and Kosovo (S/RES/1244 (1999)),99789,11968,2480,114237
2005,Germany,Iraq,52922,5690,,58612
2005,Germany,Russian Federation,41732,4900,,46632
2005,Germany,Afghanistan,31055,5081,197,36333
2005,United Kingdom,Somalia,36319,,,36319
2005,Germany,Iran (Islamic Rep. of),24016,4883,,28899
2005,Netherlands,Iraq,26618,1818,,28436
2005,Netherlands,Afghanistan,25086,1478,206,26770
2005,Sweden,Iraq,21046,2136,,23182
2005,United Kingdom,Afghanistan,22532,,354,22886
2005,United Kingdom,Iraq,22363,,,22363
2005,United Kingdom,Serbia and Kosovo (S/RES/1244 (1999)),19717,,336,20053
2005,Sweden,Serbia and Kosovo (S/RES/1244 (1999)),11953,2260,355,14568
2005,Germany,Syrian Arab Rep.,10469,2888,,13357
2005,Netherlands,Somalia,10715,674,,11389
2005,Denmark,Iraq,10667,61,,10728
2005,United Kingdom,Iran (Islamic Rep. of),9039,,,9039
2005,France,Serbia and Kosovo (S/RES/1244 (1999)),6988,,71,7059
2005,Denmark,Somalia,6648,26,,6674
2005,Denmark,Afghanistan,6381,80,65,6526
2005,Austria,Russian Federation,6438,,,6438
2005,Netherlands,Iran (Islamic Rep. of),5573,688,,6261
2005,Sweden,Iran (Islamic Rep. of),5016,844,,5860
2005,Belgium,Russian Federation,3899,1614,,5513
2005,Austria,Serbia and Kosovo (S/RES/1244 (1999)),5091,,257,5348
2005,France,Russian Federation,5292,,,5292
2005,Poland,Russian Federation,3785,1503,,5288
2005,Sweden,Afghanistan,4264,699,6,4969
2005,Denmark,Serbia and Kosovo (S/RES/1244 (1999)),4771,53,51,4875
2005,Sweden,Somalia,3486,992,,4478
2005,Germany,Eritrea,2746,1135,,3881
2005,Netherlands,Serbia and Kosovo (S/RES/1244 (1999)),3236,506,133,3875
2005,United Kingdom,Eritrea,3617,,,3617
2005,Germany,Somalia,2903,284,,3187
2005,Austria,Afghanistan,2991,,25,3016
2005,Belgium,Serbia and Kosovo (S/RES/1244 (1999)),1889,689,144,2722
2005,Hungary,Serbia and Kosovo (S/RES/1244 (1999)),2388,56,143,2587
2005,Hungary,Afghanistan,2376,9,,2385
2005,Netherlands,Syrian Arab Rep.,1674,336,,2010
2005,United Kingdom,Russian Federation,1886,,,1886
2005,Netherlands,Russian Federation,1466,350,,1816
2005,Denmark,Iran (Islamic Rep. of),1755,42,,1797
2005,Sweden,Russian Federation,1178,535,,1713
2005,Finland,Iran (Islamic Rep. of),1683,,,1683
2005,Finland,Iraq,1648,,,1648
2005,France,Iran (Islamic Rep. of),1634,,,1634
2005,Finland,Afghanistan,1604,,1,1605
2005,Austria,Iran (Islamic Rep. of),1589,,,1589
2005,Finland,Serbia and Kosovo (S/RES/1244 (1999)),1296,,116,1412
2005,Sweden,Eritrea,822,590,,1412
2005,France,Iraq,1319,,,1319
2005,Belgium,Iraq,231,1038,,1269
2005,Hungary,Iraq,1252,3,,1255
2005,France,Afghanistan,1228,,7,1235
2005,Austria,Iraq,1224,,,1224
2005,Belgium,Iran (Islamic Rep. of),327,882,,1209
2005,Germany,Gambia,1041,113,,1154
2005,Finland,Somalia,1008,,,1008
2005,Netherlands,Eritrea,494,179,,673
2005,France,Somalia,587,,,587
2005,Belgium,Syrian Arab Rep.,115,409,,524
2005,Belgium,Afghanistan,381,106,11,498
2005,Denmark,Russian Federation,466,19,,485
2005,Spain,Russian Federation,483,,,483
2005,Ireland,Serbia and Kosovo (S/RES/1244 (1999)),368,,1,369
2005,Ireland,Somalia,309,,,309
2005,Ireland,Russian Federation,287,,,287
2005,Ireland,Iraq,257,,,257
2005,Spain,Iraq,242,,,242
2005,Finland,Russian Federation,232,,,232
2005,France,Syrian Arab Rep.,213,,,213
2005,United Kingdom,Syrian Arab Rep.,208,,,208
2005,Belgium,Somalia,108,99,,207
2005,United Kingdom,Gambia,202,,,202
2005,Denmark,Syrian Arab Rep.,188,12,,200
2005,Ireland,Iran (Islamic Rep. of),162,,,162
2005,Germany,Mali,134,27,,161
2005,Hungary,Iran (Islamic Rep. of),153,6,,159
2005,Poland,Somalia,157,,,157
2005,Hungary,Somalia,155,1,,156
2005,Austria,Somalia,146,,,146
2005,Spain,Somalia,146,,,146
2005,Hungary,Russian Federation,129,10,,139
2005,France,Mali,129,,,129
2005,Austria,Syrian Arab Rep.,122,,,122
2005,Spain,Iran (Islamic Rep. of),99,,,99
2005,Spain,Serbia and Kosovo (S/RES/1244 (1999)),81,,9,90
2005,Spain,Afghanistan,87,,,87
2005,Poland,Afghanistan,87,,,87
2005,Ireland,Afghanistan,77,,,77
2005,Denmark,Eritrea,56,8,,64
2005,France,Eritrea,63,,,63
2005,Finland,Eritrea,50,,,50
2005,Hungary,Syrian Arab Rep.,44,5,,49
2005,Ireland,Eritrea,48,,,48
2005,Poland,Iraq,47,,,47
2005,France,Gambia,44,,,44
2005,Finland,Syrian Arab Rep.,39,,,39
2005,Belgium,Eritrea,1,28,,29
2005,Ireland,Syrian Arab Rep.,27,,,27
2005,Austria,Eritrea,21,,,21
2005,Spain,Syrian Arab Rep.,21,,,21
2005,Poland,Serbia and Kosovo (S/RES/1244 (1999)),16,,1,17
2005,Netherlands,Mali,9,6,,15
2005,Sweden,Gambia,9,6,,15
2005,Netherlands,Gambia,7,7,,14
2005,Poland,Syrian Arab Rep.,6,7,,13
2005,Austria,Gambia,12,,,12
2005,Spain,Gambia,12,,,12
2005,Belgium,Mali,,9,,9
2005,Poland,Iran (Islamic Rep. of),9,,,9
2005,Sweden,Mali,2,6,,8
2005,Belgium,Gambia,,5,,5
2005,Spain,Eritrea,5,,,5
2005,Ireland,Gambia,5,,,5
2005,Portugal,Afghanistan,5,,,5
2005,United Kingdom,Mali,4,,,4
2005,Portugal,Iraq,4,,,4
2005,Hungary,Eritrea,3,,,3
2005,Hungary,Gambia,,1,,1
2005,Poland,Eritrea,1,,,1
2005,Portugal,Gambia,1,,,1
2005,Portugal,Iran (Islamic Rep. of),1,,,1
2005,Portugal,Russian Federation,1,,,1
2005,Portugal,Serbia and Kosovo (S/RES/1244 (1999)),1,,,1
